4530407	4
9411585	13
29465090	28
24779268	13
13220357	12
26996742	8
4890638	14
12453392	12
5282322	7
23830552	16
18570783	8
13602337	8
4532770	4
24721955	21
529864	13
26578470	24
23374376	9
8499548	14
9264682	18
13191211	14
21145135	23
26304179	6
1157982	5
11333687	10
8086585	20
1307999	9
4050494	16
25826371	11
8454215	9
23912522	18
14807991	5
23399502	15
11333718	17
13193306	12
21666999	20
14042718	20
24543327	13
17891937	12
13370982	11
9717350	7
28385468	24
13368938	10
16989053	19
5222930	7
16756846	17
1888869	19
20554352	26
9546867	11
1219700	5
27905653	16
13479543	11
7669880	9
29421178	18
13230203	13
5236348	7
12459133	23
28641920	3
28256386	16
12622980	17
16986245	19
8499551	13
14140043	15
5495952	23
7497240	22
11730579	18
20494486	20
29032845	11
10373786	31
20133019	21
25891485	13
26522782	18
25442463	13
21877408	9
28623011	15
28641958	5
8296103	10
21924527	25
8468145	16
11602098	12
13414579	7
2131636	10
20675017	24
19039418	18
12716575	31
23949500	27
13225150	21
1751707	13
26998982	16
21169100	8
8518351	20
3152592	17
29574008	22
28279506	22
7578835	19
21188303	18
13279452	16
24703199	17
23453921	18
12716582	17
27102951	6
29191400	6
7766762	8
7766764	11
8518354	15
22215407	9
18501160	11
5245718	9
13208821	33
10835703	17
14942540	15
17502971	11
14808979	5
9931562	6
16351487	9
14312705	6
4520712	8
2152236	4
27795216	17
13246230	25
2490136	9
8427915	12
2129694	9
26455328	18
8548641	20
15362267	2
29206820	5
5223863	12
24624426	9
24485163	12
19802412	14
25220798	10
28763081	17
26613624	6
5931316	12
3506254	9
15413057	14
28427915	17
2718817	12
13375373	17
24139148	19
24728396	19
21311823	16
13377872	15
13473618	7
2104147	9
27742549	16
1416534	15
29599063	25
22116184	8
14154212	25
22476124	21
23834973	5
24108382	20
9183973	15
7348067	17
27143527	16
24895719	15
23650671	26
22018792	14
20038991	14
17194355	20
13351796	11
26412408	8
26777978	16
22575484	16
10570621	7
3434367	12
26204544	11
1008931	16
13375369	25
2518989	14
14333835	18
13375372	17
14095245	13
3136751	14
13397395	17
17916308	10
29428118	12
9485855	10
897433	14
25772443	13
20116895	13
25092507	13
30529356	29
10330538	12
28359596	6
5290367	11
27401373	17
6933832	10
23916982	22
16454583	12
27869112	19
28063673	16
15646138	12
22634946	13
24462276	2
3483592	19
22463945	21
13255116	6
17493453	11
10916815	7
29784529	19
6963666	12
25124003	12
12848597	16
29317082	16
19467739	13
13220316	9
13246203	10
27445220	14
22385637	8
14184423	13
8210408	9
1420777	11
22552558	18
8600561	10
22352123	8
23790584	21
23452671	16
1374824	10
13303826	12
13303827	3
13303831	9
10682392	10
23461915	15
14385157	11
27131936	11
13555035	14
13303844	20
12189733	12
12189734	14
12189735	16
2490411	6
4784172	4
9699376	5
5046323	2
5046324	7
2490423	11
7209017	8
11468859	16
11534400	9
11534402	22
4456518	9
4456519	12
4456520	8
27131977	18
7405643	10
8454220	22
23199828	18
23199831	9
23199837	8
14155871	6
14155876	3
12189805	14
6073021	12
19595379	11
24160958	7
5243006	8
8519817	7
8519820	13
7209103	7
7209104	11
7209105	9
655506	14
24445075	19
14221460	6
14221462	10
7209111	7
7995548	6
5898400	20
4445553	12
7329138	14
8519854	19
10027184	10
19245769	5
23789753	13
23789755	21
19245770	16
23789758	12
5243074	12
19245771	7
21233861	16
21233863	9
19245772	8
4445559	6
21889231	12
6881488	10
14964088	19
6881493	15
8061143	16
5898458	8
15408946	7
8585437	4
13303845	33
7209185	7
5832931	8
8061156	11
7569446	10
8061159	15
23789801	10
4456487	12
19245778	7
15794414	5
19245779	7
20381944	14
26411258	20
5505278	11
19245781	15
2949378	15
7274758	5
15406658	3
7034242	14
11141391	10
20578576	10
14156050	9
9622915	12
14156053	14
3153375	12
11469079	12
14156056	10
11469083	9
14156063	19
27132192	15
7209008	7
29229359	16
11141424	17
16187698	13
2490419	10
16187704	15
16187707	16
11141440	23
7209281	12
8520011	14
8520017	6
25887058	11
8520019	4
8520020	10
24183125	23
17498455	21
17498456	11
17498457	10
9830746	15
9830748	15
17498463	7
9830755	18
17498470	15
7864679	18
4522345	4
5308782	4
11993456	11
5308785	3
5308788	7
9830778	7
5308795	10
9830780	20
5308798	12
14221702	7
14156167	10
15270282	11
15794583	12
7537050	25
7078302	11
5505440	3
11469220	6
14051587	5
