Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('mediante', 'lo', 'técnico')|3|6|129|967|0.044444444444444446|0.006166495375128468|0.05061093981957292|10.498029197499749|-1.0354897250343595|-0.052407108157500076|
linnaeus|1|2|9|971|0.18181818181818182|0.0020554984583761563|0.18387368027655798|14.115413175913282|0.15555580304632824|0.02860261799450378|
('asistencial', 'en')|2|3|285|970|0.010416666666666666|0.003083247687564234|0.0134999143542309|9.404919793108268|-1.395402600076839|-0.018837815590708438|
('del', 'mosquito', 'aedes')|3|2|12|971|0.14285714285714285|0.0020554984583761563|0.144912641315519|13.767489872492977|0.04099995353555714|0.005941411560651137|
('pulmonata', ':')|2|3|2|970|0.6|0.003083247687564234|0.6030832476875642|15.252916699663219|0.530085710079467|0.31968581158749354|
('tuberculosis', 'a')|2|2|11|971|0.15384615384615385|0.0020554984583761563|0.15590165230453001|13.874405076409488|0.0762024303167041|0.011880084795994979|
('opinión', 'de', 'lo')|3|2|162|971|0.012195121951219513|0.0020554984583761563|0.014250620409595668|10.217292789932497|-1.1279238831988618|-0.0160736151103841|
('de', 'coccidiosis', 'intestinal')|3|1|10|972|0.09090909090909091|0.0010277492291880781|0.09193684013827899|14.115413175913282|0.15555580304632824|0.01430130899725189|
('dentro', 'de')|2|1|127|972|0.0078125|0.0010277492291880781|0.008840249229188078|10.57484479455058|-1.0101977256502173|-0.008930399665506883|
('infectar', 'por')|2|6|952|967|0.006263048016701462|0.006166495375128468|0.01242954339182993|7.6709629488144|-1.9663183661677952|-0.024440439454434745|
('lo', 'tuberculois')|2|1|91|972|0.010869565217391304|0.0010277492291880781|0.011897314446579382|11.051282838493567|-0.8533276214445054|-0.010152307038276935|
('diferente', 'actor', 'social')|3|1|4|972|0.2|0.0010277492291880781|0.2010277492291881|15.252916699663219|0.530085710079467|0.1065619371958312|
('2', 'en', 'santiago')|3|1|1|972|0.5|0.0010277492291880781|0.501027749229188|16.57484479455058|0.9653385212975693|0.4836613865699537|
('va-mengoc-bc', 'en', 'el')|3|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.2945945624555337|1.2959250810192084|
('cómo', 'estar')|2|1|7|972|0.125|0.0010277492291880781|0.12602774922918808|14.57484479455058|0.30682643898164075|0.038668645508862995|
('sarna', 'noruego', 'en')|3|1|7|972|0.125|0.0010277492291880781|0.12602774922918808|14.57484479455058|0.30682643898164075|0.038668645508862995|
('cepa', 'de', 'virus')|3|1|8|972|0.1111111111111111|0.0010277492291880781|0.11213886034029918|14.404919793108268|0.2508776057129836|0.028133128789556917|
('unicipio', 'marianao')|2|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.2945945624555337|1.2959250810192084|
('lepidium', 'meyenii', '(')|3|1|1|972|0.5|0.0010277492291880781|0.501027749229188|16.57484479455058|0.9653385212975693|0.4836613865699537|
('el', 'virus', 'dengue')|3|1|5|972|0.16666666666666666|0.0010277492291880781|0.16769441589585474|14.989882293829424|0.44348004292629445|0.07436912675999353|
('lo', 'pesquisar')|2|1|49|972|0.02|0.0010277492291880781|0.02102774922918808|11.930988604775855|-0.5636791834545655|-0.011852904515396105|
('su', 'espectro')|2|1|3|972|0.25|0.0010277492291880781|0.2510277492291881|15.57484479455058|0.6360824801396052|0.15967435331356483|
clínico-terapéutico|1|1|34|972|0.02857142857142857|0.0010277492291880781|0.02959917780061665|12.445561777605613|-0.39425285768254625|-0.011669560432946898|
('del', 'nacimiento')|2|1|47|972|0.020833333333333332|0.0010277492291880781|0.021861082562521412|11.989882293829424|-0.5442880805475991|-0.01189872666664737|
('parir', 'lo', 'cuantificación')|3|4|24|969|0.14285714285714285|0.0041109969167523125|0.14696813977389517|12.767489872492977|-0.2882560876224074|-0.04236446097636614|
('patología', 'dermatológico', 'y')|3|1|4|972|0.2|0.0010277492291880781|0.2010277492291881|15.252916699663219|0.530085710079467|0.1065619371958312|
('de', 'lo', 'mortalidad')|3|2|1279|971|0.00156128024980484|0.0020554984583761563|0.0036167787081809962|7.251790034208933|-2.1043335805914367|-0.007610908889193387|
('preventivo', 'en')|2|2|272|971|0.0072992700729927005|0.0020554984583761563|0.009354768531368856|9.476812711590053|-1.3717314223502342|-0.012832229943291812|
('caracterización', 'fenotípico')|2|1|34|972|0.02857142857142857|0.0010277492291880781|0.02959917780061665|12.445561777605613|-0.39425285768254625|-0.011669560432946898|
('groot', 'liévano', '(')|3|1|2|972|0.3333333333333333|0.0010277492291880781|0.3343610825625214|15.989882293829424|0.772736084084259|0.25837287360953637|
